"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"G010","Serveis religiosos","Mesquites","434360.5",4585537636,434268533,"4585336.67","2.213453","41.416896","Dahiratoul Moutahabina Filahi",10,70,"Sant Martí","el Besòs i el Maresme","C Alfons el Magnànim, 89",631523408
"G009","Serveis religiosos","Esglésies evangèliques",430339321,"4580753.64","430247.39",4580552719,"2.165892","41.37347","Església Evangèlica Assemblea de Déu de Barcelona Cristo Vive Hoy",3,11,"Sants-Montjuïc","el Poble-sec","C Salvà, 32",639317399
"G010","Serveis religiosos","Mesquites",434114459,4585775185,434022494,4585574217,"2.210484","41.419016","Mesquita Jamea Masjad Ghulamane Mustapha Catalunya",10,70,"Sant Martí","el Besòs i el Maresme","C Bernat Metge, 6*10","null"
"G009","Serveis religiosos","Esglésies evangèliques",427040399,4580831134,426948498,4580630214,"2.126439","41.373875","Església Evangèlica Fuente de Vida Movimiento Cristiano y Misionero Barcelona",3,17,"Sants-Montjuïc","Sants - Badal","C Puig i Valls, 11","null"
"G008","Serveis religiosos","Esglésies catòliques",428958617,4584444838,"428866.7",4584243884,"2.14895","41.406594","Parròquia de la Verge de Gràcia i Sant Josep",6,28,"Gràcia","Vallcarca i els Penitents","Pl Lesseps, 25",932376638
"G008","Serveis religiosos","Esglésies catòliques",427728203,4585672476,427636297,4585471511,"2.134084","41.417541","Parròquia de Sant Tomàs More",5,25,"Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova","C Collserola, 31",932123759
"G009","Serveis religiosos","Esglésies evangèliques",432424184,4583367133,432332234,4583166188,"2.190528","41.397187","Església Evangèlica Comunitat Cristiana Redimidos de Dios (Redeemed Christian Church of God)",10,66,"Sant Martí","el Parc i la Llacuna del Poblenou","C Pamplona, 101",670992128
"G008","Serveis religiosos","Esglésies catòliques","428685.01",4582569374,428593095,4582368437,"2.145898","41.389678","Parròquia de Sant Eugeni I, Papa",2,9,"Eixample","la Nova Esquerra de l'Eixample","C Londres, 40",933214432
"G009","Serveis religiosos","Esglésies evangèliques",433350954,4588457023,433258997,"4588256.03","2.201052","41.443107","Església Evangèlica Canaan",9,59,"Sant Andreu","el Bon Pastor","C Potosí, 7","null"
"G010","Serveis religiosos","Mesquites",430547723,4581275984,"430455.79",4581075059,"2.168324","41.378193","Mesquita Rei Jalal de Bangladesh (Baba Jalal Shah)",1,1,"Ciutat Vella","el Raval","C Riereta, 16",934416871
"G008","Serveis religiosos","Esglésies catòliques",426049237,4584165437,425957346,4583964486,"2.11418","41.403815","Residència Assistida per a Gent Gran Institut Desert de Sarrià-Capella de Santa Eulàlia",5,23,"Sarrià-Sant Gervasi","Sarrià","Pg Santa Eulàlia, 23",932030998
"G009","Serveis religiosos","Esglésies evangèliques",432441567,4588964637,432349619,"4588763.64","2.19011","41.447603","Església Evangèlica de Filadèlfia - Trinitat",9,57,"Sant Andreu","la Trinitat Vella","Via Favència, 441*479","null"
"G008","Serveis religiosos","Esglésies catòliques",428061138,4585642379,427969229,4585441414,"2.138071","41.4173","Clínica Geriàtrica Solàrium ***Tancada-Església",6,28,"Gràcia","Vallcarca i els Penitents","C Ticià, 21*29","null"
"G008","Serveis religiosos","Esglésies catòliques","432428.06",4589154055,432336112,4588953056,"2.189927","41.449308","Parròquia de la Santíssima Trinitat",9,57,"Sant Andreu","la Trinitat Vella","C Turó de la Trinitat, 3",933451728
"G011","Serveis religiosos","Salons del regne","429911.35",4581422216,429819423,4581221289,"2.160698","41.379454","Saló del Regne - Passatge Sant Antoni Abat",2,10,"Eixample","Sant Antoni","Ptge Sant Antoni Abat, 11",934242534
"G005","Serveis religiosos","Centres taoistes",430075455,4584283721,429983527,4584082768,"2.162329","41.405241","Associació de Tai-Txi Taoista d'Espanya a Catalunya",6,31,"Gràcia","la Vila de Gràcia","Pl Joanic, 3",932840491
"G009","Serveis religiosos","Esglésies evangèliques",431382982,"4590561.29",431291044,4590360278,"2.177257","41.461893","Església Evangèlica Rey de Reyes",8,55,"Nou Barris","Ciutat Meridiana","C Agudes, 38","null"
"G008","Serveis religiosos","Esglésies catòliques",431490947,4581403799,431399005,4581202872,"2.179588","41.379425","Parròquia de la Mare de Déu de la Mercè i Sant Miquel Arcàngel - Basílica",1,2,"Ciutat Vella","el Barri Gòtic","Pl Mercè, 1",933152756
"G009","Serveis religiosos","Esglésies evangèliques",426725,4580999328,426633102,4580798406,"2.122647","41.375361","Església Evangèlica Casa de Restauració Emanuel - Collblanc",3,17,"Sants-Montjuïc","Sants - Badal","Ptge Paca Soler, 16","null"
"G009","Serveis religiosos","Esglésies evangèliques",428503954,4581097365,"428412.04",4580896442,"2.143907","41.376405","Església Evangèlica de Filadèlfia - Plaça Espanya",3,15,"Sants-Montjuïc","Hostafrancs","C Torre d'en Damians, 20","null"
"G008","Serveis religiosos","Esglésies catòliques","429044.96",4583125688,428953041,4582924746,"2.150138","41.394721","Parròquia de la Mare de Déu de Núria",5,26,"Sarrià-Sant Gervasi","Sant Gervasi - Galvany","C Bon Pastor, 9",932000167
"G009","Serveis religiosos","Esglésies evangèliques",432017525,4588642904,431925581,"4588441.91","2.185071","41.444669","Església Evangèlica Centre Cristià Internacional Barcelona",8,52,"Nou Barris","la Prosperitat","C Formentera, 48",663456560
"G009","Serveis religiosos","Esglésies evangèliques",434043787,4587457932,433951824,4587256948,"2.209454","41.434166","Església Evangèlica Ministerio Internacional Vino Nuevo",9,59,"Sant Andreu","el Bon Pastor","C l'Avançada, 1","null"
"G008","Serveis religiosos","Esglésies catòliques",429946791,4584456575,429854864,"4584255.62","2.16077","41.406787","Església del Santíssim Sagrament - Encarnació",6,31,"Gràcia","la Vila de Gràcia","C Encarnació, 62",932131497
"G008","Serveis religiosos","Esglésies catòliques","428571.57",4585171098,428479656,4584970137,"2.144234","41.413101","Parròquia de Sant Jordi",6,28,"Gràcia","Vallcarca i els Penitents","Viad Vallcarca, 7",932199020
"G008","Serveis religiosos","Esglésies catòliques",430920419,4586147351,430828484,"4585946.38","2.172224","41.422099","Església de Nostra Senyora de la Visitació",7,35,"Horta-Guinardó","el Guinardó","Llobet i Vall llosera, 12",932557050
"G009","Serveis religiosos","Esglésies evangèliques",432006501,4587292735,431914556,4587091753,"2.185091","41.432508","Església Evangèlica Pentecostal Unida d'Espanya - Abat Odó",9,60,"Sant Andreu","Sant Andreu","C Abat Odó, 73","null"
"G003","Serveis religiosos","Centres budistes","429965.75",4584873723,429873823,4584672764,"2.160948","41.410545","Serchöling - Centre Budista Vajrayana",6,32,"Gràcia","el Camp d'en Grassot i Gràcia Nova","Pg Amunt, 34",932104198
"G008","Serveis religiosos","Esglésies catòliques",431193519,"4590459.59",431101583,4590258579,2175,"41.460961","Parròquia de Sant Bernat de Claravall",8,55,"Nou Barris","Ciutat Meridiana","C Pedraforca, 2",933590284
"G008","Serveis religiosos","Esglésies catòliques","429935.8",4587331909,429843874,4587130928,"2.160305","41.432682","Monestir de l'Adoració Perpètua",7,43,"Horta-Guinardó","Horta","C Salses, 12",934277104
"G008","Serveis religiosos","Esglésies catòliques",430098763,4585262503,430006835,4585061541,"2.162495","41.414058","Parròquia de Crist Redemptor",7,33,"Horta-Guinardó","el Baix Guinardó","Av Mare Déu de Montserrat, 34",932841810
"G008","Serveis religiosos","Esglésies catòliques",426248527,4584347791,426156635,4584146838,"2.116542","41.405476","Centre Educatiu Padre Damián Sagrados Corazones-Església dels Sagrats Cors *Av. Vallvidrera",5,23,"Sarrià-Sant Gervasi","Sarrià","Av Vallvidrera, 10",932031274
"G008","Serveis religiosos","Esglésies catòliques",429401904,4584867458,429309983,"4584666.5","2.154203","41.410439","Església del Reial Santuari de Sant Josep de la Muntanya",6,30,"Gràcia","la Salut","Av Santuari St Josep Muntanya, 25",932840500
"G009","Serveis religiosos","Esglésies evangèliques",426914331,4581263474,426822432,"4581062.55","2.124879","41.377758","Església Evangèlica Assemblea de Germans - Jaume Roig",4,20,"Les Corts","la Maternitat i Sant Ramon","Ptge Jaume Roig, 14","null"
"G009","Serveis religiosos","Esglésies evangèliques",428564665,4581011222,"428472.75","4580810.3","2.144643","41.375634","Església Evangèlica Capítol 29",3,15,"Sants-Montjuïc","Hostafrancs","C Torre d'en Damians, 6","null"
"G011","Serveis religiosos","Salons del regne",428210646,4580647309,428118734,"4580446.39","2.140453","41.372325","Saló del Regne - Alpens",3,16,"Sants-Montjuïc","la Bordeta","C Alpens, 14*16",934222450
"G008","Serveis religiosos","Esglésies catòliques","428283.59","4579794.17",428191677,4579593259,"2.141426","41.364648","Capella del Polvorí",3,13,"Sants-Montjuïc","la Marina de Port","Pl Llorca, 2","null"
"G008","Serveis religiosos","Esglésies catòliques",430850198,4581527906,430758262,4581326978,"2.171912","41.380488","Parròquia de la Immaculada Concepció i Sant Lorenzo Ruiz",1,1,"Ciutat Vella","el Raval","Pl Sant Agustí, 2",934124783
"G009","Serveis religiosos","Esglésies evangèliques",424230383,4586844089,"424138.51",4586643114,"2.092087","41.42777","Església Evangèlica l'Aplec Sagrat",5,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","Pl Major del Rectoret, 1*2",937213769
"G009","Serveis religiosos","Esglésies evangèliques",434612083,4585654131,434520114,4585453164,"2.216451","41.417966","Església Evangèlica de Filadèlfia - La Pau",10,70,"Sant Martí","el Besòs i el Maresme","C Perpinyà, 15","null"
"G009","Serveis religiosos","Esglésies evangèliques",429003227,4581345021,428911308,4581144095,"2.149847","41.378679","Església Evangèlica Alianza Cristiana",2,9,"Eixample","la Nova Esquerra de l'Eixample","C Vilamarí, 76",933256087
"G008","Serveis religiosos","Esglésies catòliques",429172067,4585945827,429080148,4585744859,"2.151327","41.420132","Parròquia de la Mare de Déu del Coll",6,29,"Gràcia","el Coll","C Santuari, 30",932138229
"G008","Serveis religiosos","Esglésies catòliques",427645624,4581419913,427553718,4581218987,"2.133605","41.379233","Parròquia de Sant Joan Maria Vianney",3,18,"Sants-Montjuïc","Sants","Melcior de Palau, 56",933391439
"G008","Serveis religiosos","Esglésies catòliques",430873104,4580675645,430781168,4580474725,"2.172283","41.372814","Parròquia de Sant Pere Claver",3,11,"Sants-Montjuïc","el Poble-sec","C Palaudàries, 23",934418007
"G011","Serveis religiosos","Salons del regne",428088274,4579745299,427996363,4579544388,"2.139097","41.36419","Saló del Regne - Mare de Déu del Port",3,13,"Sants-Montjuïc","la Marina de Port","C Mare de Déu de Port, 397*401",934316331
"G009","Serveis religiosos","Esglésies evangèliques",431640435,4586030393,431548493,4585829423,"2.180853","41.421107","Església Evangèlica Pentecostal Unida d'Europa",9,62,"Sant Andreu","el Congrés i els Indians","C Puerto Príncipe, 11","null"
"G009","Serveis religiosos","Esglésies evangèliques",433515039,4588287187,433423081,4588086196,"2.203035","41.441591","Església Evangèlica Comunitat Cristiana Restauració de la Fe",9,59,"Sant Andreu","el Bon Pastor","C Caracas, 15","null"
"G009","Serveis religiosos","Esglésies evangèliques",431428233,4586990171,431336294,4586789192,"2.178205","41.429734","Església Evangèlica Maranatha Barcelona - Ministerio Pasión de Multitudes",8,44,"Nou Barris","Vilapicina i la Torre Llobeta","C Emili Roca, 34",670699305
"G004","Serveis religiosos","Centres hindús",430616153,4587173874,430524221,4586972894,"2.168465","41.431318","Centre de Ioga Vedanta Sivananda",8,46,"Nou Barris","el Turó de la Peira","C Cadí, 19",607854410
"G008","Serveis religiosos","Esglésies catòliques",425256551,4582596898,425164667,4582395962,"2.104892","41.389615","Capella de Nostra Senyora de la Mercè",4,21,"Les Corts","Pedralbes","C Torrent de les Roses, 22",932038203
"G008","Serveis religiosos","Esglésies catòliques",427022474,4584616459,426930574,4584415504,"2.125768","41.407966","Monestir de la Immaculada",5,25,"Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova","C Immaculada, 45",934173675
