lon,lat
2.19063,41.45097
2.187517,41.388111
2.17694444444,41.3825
2.1859099,41.44701
2.17719,41.44098
2.17673,41.44045
2.18191789854,41.4360598364
2.18262,41.44072
2.56785856906,41.5834487719
2.15208469329,41.4311530888
2.16499,41.43838
2.17422,41.43043
2.1812299,41.43137
2.1804199,41.43011
2.17044296935,41.3860281565
2.15994,41.42971
2.16275967658,41.4286579751
2.18804955482,41.4245235902
2.18692302704,41.4249821411
2.172402665,41.42326976
2.1793301,41.4254303
2.19699,41.42189
2.197200482,41.42187761
2.20832,41.42024
2.13213,41.41616
2.13159,41.41532
2.13160918426,41.4161897649
2.13414595554,41.4151516937
2.14842796326,41.4181115831
2.174956,41.416615
2.1819799,41.41527
2.19576,41.416069
2.21671946833,41.4174446783
2.21798,41.41498
2.2012156,41.40793615
2.14464202523,41.4143273095
2.13857,41.41363
2.16644,41.41368
2.16073,41.41229
2.19688904243,41.3850811182
2.17126,41.41337
2.15105,41.39355
2.18339,41.41267
2.18658,41.41097
2.1858101,41.41045
2.2087416,41.412644
2.12773,41.40463
2.13501,41.40619
2.14006,41.40524
2.14416,41.40733
2.14633697327,41.4102454343
2.14793,41.40555
2.14453,41.40535
2.15991,41.40525
2.17359,41.4088
2.17497841069,41.410170838
2.1745,41.41044
2.17300414,41.4046551889
2.17369,41.40657
2.1714298,41.4058367
2.17383,41.41004
2.17943,41.4091499
2.18598371,41.40803738
2.19286,41.40857
2.20321,41.39967
2.18333687742,41.3824489701
2.1231,41.40309
2.1209699,41.40047
2.13265657425,41.4048350268
2.1360199,41.40344
2.1356126,41.4014457
2.13402026947,41.4045804163
2.14851,41.40049
2.14773,41.40175
2.1472,41.40332
2.14722,41.40074
2.1567599,41.40399
2.15463,41.40043
2.15202,41.39951
2.1552801,41.4053497
2.15223,41.40303
2.15970464914,41.4038743714
2.164654,41.40132
2.1690999,41.4013599
2.1689,41.40256
2.16456,41.40369
2.17024565206,41.4015964221
2.1681034,41.4033482
2.19105,41.40408
2.19622606094,41.4048178097
2.19349,41.4037
2.20112,41.40255
2.19982,41.40088
2.15273612544,41.3642138259
2.20664531907,41.3994006389
2.1233399,41.39761
2.12161,41.39966
2.12443,41.39729
2.13946,41.40064
2.1442,41.39653
2.14277,41.39793
2.14252,41.39812
2.14365631342,41.3955740286
2.15051,41.39741
2.14927,41.39799
2.15162735227,41.3974255187
3.2268552381,6.60470952381
2.14486,41.3953599
2.173308,41.381336
2.15729,41.39785
2.15344905853,41.3953064199
2.1572,41.39802
2.15721,41.39816
2.15932,41.39493
2.16002,41.39902
2.15990781784,41.3991212495
2.15989,41.39706
2.16087600627,41.3961092898
2.16316,41.39612
2.15992,41.39448
2.15958,41.40094
2.16001,41.39455
2.15808,41.39953
2.15948558909,41.3951295166
2.16217,41.39659
2.16719,41.39719
2.16572,41.39731
2.16956,41.3987999
2.16787,41.3977099
2.16454503069,41.395203765
2.17356,41.39649
2.17865,41.40063
2.18117,41.39588
2.19219,41.39713
2.19227,41.39694
2.18883,41.3977099
2.1990599,41.39746
2.20094814393,41.3959455322
2.11013555339,41.3942558581
2.11177,41.39311
2.1216119,41.39039985
2.1259,41.39425
2.12567323502,41.392910854
2.12580084801,41.3940669545
2.1243,41.3910408
2.18913,41.3762
2.13412266635,41.3946360338
2.13904,41.39246
2.1363558,41.3940243
2.17394338398,41.3884527303
2.14619636536,41.392320395
2.14363330658,41.3907698654
2.14355,41.392735
2.1420499,41.39171
2.14347,41.3947999
2.13925,41.39305
2.15022,41.39393
2.14724,41.39318
2.14725910706,41.3940043275
2.15062850769,41.3949873845
2.1473801,41.3941193
2.14897,41.39409
2.14665,41.3913
2.14774,41.3945099
2.150443515,41.39346791
2.14905023575,41.3945498659
2.14958667755,41.3924894189
2.1503899,41.39306
2.15078,41.39407
2.1532,41.39202
2.15451,41.3910399
2.15336,41.39359
2.15208649635,41.3926181988
2.15301132143,41.3972200233
2.15518,41.39618
2.15463,41.39182
2.15347,41.39615
2.16045501424,41.3947794619
2.16268,41.39356
2.1596099,41.39405
2.16326,41.39449
2.16499,41.39446
2.1612599,41.3910217
2.1604899,41.39533
2.15863,41.39049
2.15907210167,41.390319122
2.16242,41.39456
2.1678799,41.39015
2.16536,41.39138
2.16489,41.39401
2.17157,41.39157
2.16844,41.39465
2.16732,41.39381
2.16316,41.39316
2.1650299,41.3938599
2.17175,41.39106
2.16391,41.39256
2.17096,41.39112
2.17261,41.3904
2.17308,41.39005
2.17406,41.38543
2.17047,41.39544
2.17071,41.39472
2.17634439468,41.3965136687
2.17616,41.39162
2.17569,41.397
2.16996,41.39215
2.17748,41.39525
2.1739369975,41.3918619575
2.14716899491,41.3797958677
2.1751,41.39253
2.17209,41.39717
2.18532,41.39347
2.18314647675,41.389881572
2.19428,41.39694
2.20444,41.39276
2.2044222,41.3921204
2.205787,41.393462
2.11874,41.38944
2.1221099,41.389019
